
 num     #instances         #bytes  class name
 484:             1             40  [Lsun.security.ssl.CipherSuite$MacAlg;
 485:             1             40  [Lsun.security.ssl.SupportedGroupsExtension$NamedGroupType;
 486:             1             40  [Lsun.security.util.DisabledAlgorithmConstraints$Constraint$Operator;
 487:             1             40  [Lsun.util.locale.provider.LocaleProviderAdapter$Type;
 488:             1             40  [[Ljava.lang.invoke.LambdaForm$Name;
 489:             1             40  com.alibaba.fastjson.serializer.SerializeBeanInfo
 490:             1             40  java.io.BufferedInputStream
 491:             1             40  java.util.ResourceBundle$1
 492:             1             40  javax.crypto.CryptoAllPermission
 493:             1             40  org.apache.http.client.methods.HttpPost
 494:             1             40  org.apache.http.config.ConnectionConfig
 495:             1             40  org.apache.http.config.SocketConfig
 496:             1             40  org.apache.http.impl.HttpConnectionMetricsImpl
 497:             1             40  org.apache.http.impl.conn.ManagedHttpClientConnectionFactory
 498:             1             40  org.apache.http.impl.io.SessionOutputBufferImpl
 499:             1             40  sun.misc.Cleaner
 500:             1             40  sun.nio.cs.StandardCharsets$Aliases
 501:             1             40  sun.nio.cs.StandardCharsets$Cache
 502:             1             40  sun.nio.cs.StandardCharsets$Classes
 503:             1             40  sun.nio.cs.ext.ExtendedCharsets
 504:             1             40  sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl
 505:             1             40  sun.security.ssl.TrustStoreManager$TrustStoreDescriptor
 506:             1             40  sun.security.validator.SimpleValidator
 507:             1             40  sun.util.logging.resources.logging
 508:             1             40  sun.util.logging.resources.logging_zh_CN
 509:             1             32  [Ljava.lang.OutOfMemoryError;
 510:             2             32  [Ljava.lang.StackTraceElement;
 511:             1             32  [Ljava.lang.ThreadGroup;
 512:             2             32  [Ljava.lang.annotation.Annotation;
 513:             1             32  [Ljava.lang.invoke.LambdaFormEditor$Transform;
 514:             1             32  [Ljava.net.Proxy$Type;
 515:             1             32  [Ljava.text.Normalizer$Form;
 516:             1             32  [Lorg.apache.http.conn.util.DomainType;
 517:             1             32  [Lorg.apache.http.impl.cookie.RFC6265CookieSpecProvider$CompatibilityLevel;
 518:             1             32  [Lsun.nio.fs.NativeBuffer;
 519:             1             32  [Lsun.security.ssl.CipherSuite$HashAlg;
